iter	Passed	Remaining
398	104563	419562
399	104819	419277
400	105123	419185
401	105471	419262
402	105715	418926
403	105913	418412
404	106216	418308
405	106391	417705
406	106581	417159
407	106767	416601
408	106951	416040
409	107115	415399
410	107312	414889
411	107482	414275
412	107643	413632
413	107831	413092
414	108012	412528
