iter	Logloss
0	0.6809182938
1	0.6688162655
2	0.6574360554
3	0.6461121503
4	0.6348585959
5	0.6241461215
6	0.6141753109
7	0.603954881
8	0.5941214202
9	0.5843472718
10	0.5749805031
11	0.565903213
12	0.5571503012
13	0.5487822608
14	0.5403633016
15	0.532076323
16	0.5242804635
17	0.5169472516
18	0.5095880302
19	0.5024157359
20	0.4954530691
21	0.4889816822
22	0.4826147638
23	0.4764442119
24	0.4706256657
25	0.464796411
26	0.4589884547
27	0.4532774362
28	0.4479589539
29	0.4426728037
30	0.4377053567
31	0.4326848615
32	0.4280738717
33	0.4235929939
34	0.4188596935
35	0.4143383845
36	0.4098202715
37	0.4055195295
38	0.4013514665
39	0.3972664912
40	0.3934349329
41	0.3896000229
42	0.3858404348
43	0.3820978563
44	0.3787275354
45	0.375440926
46	0.3722316001
47	0.368991917
48	0.3658700609
49	0.362892178
50	0.35997192
51	0.35715823
52	0.3544151022
53	0.3517705198
54	0.3490756379
55	0.3465164788
56	0.3440484329
57	0.3415501174
58	0.339154862
59	0.3368518487
60	0.3346389545
61	0.3325041357
62	0.3303559518
63	0.3283568371
64	0.3263580703
65	0.3243798569
66	0.3224691617
67	0.3205995572
68	0.3187253165
69	0.3169701757
70	0.3152791781
71	0.313666638
72	0.3120806238
73	0.3105409008
74	0.3090209224
75	0.3075615813
76	0.3061391336
77	0.3047072607
78	0.3033763053
79	0.3020796302
80	0.3007159209
81	0.2994685127
82	0.2982439578
83	0.2969981667
84	0.2958052454
85	0.2946221419
86	0.2934896124
87	0.2923698349
88	0.2912214856
89	0.2902145716
90	0.2891600286
91	0.2881820121
92	0.2872351565
93	0.2862771522
94	0.2853669538
95	0.2844954655
96	0.2836881483
97	0.2828096262
98	0.2820011693
99	0.281174428
100	0.2803659209
101	0.2796092015
102	0.2788123222
103	0.2780678165
104	0.2773461669
105	0.2766684792
106	0.2760172724
107	0.275307328
108	0.2746339357
109	0.2739867266
110	0.2733617634
111	0.2727499392
112	0.2721290801
113	0.2715493209
114	0.270953149
115	0.2703864716
116	0.2698383598
117	0.269298928
118	0.2687894902
119	0.2682700064
120	0.2677147371
121	0.2672440903
122	0.2667574123
123	0.2662571384
124	0.2657665686
125	0.2653460243
126	0.2649393613
127	0.2645028256
128	0.2640967776
129	0.2636726801
130	0.2632746238
131	0.2628909375
132	0.2625285144
133	0.262177231
134	0.2618045748
135	0.2614220078
136	0.2610720085
137	0.2607493501
138	0.2603944662
139	0.2600730554
140	0.2597784618
141	0.259485218
142	0.259154647
143	0.2588475698
144	0.2585639259
145	0.2583043247
146	0.258010524
147	0.2577255774
148	0.2574712695
149	0.2572245005
150	0.2569630165
151	0.2567097528
152	0.2564646725
153	0.2562144311
154	0.2559542078
155	0.2557235141
156	0.2555009388
157	0.2552622165
158	0.2550210879
159	0.2547864161
160	0.2545376407
161	0.2543500114
162	0.2541496933
