iter	Logloss
163	0.2539652908
164	0.2537916228
165	0.2535747803
166	0.2534014842
167	0.2532059641
168	0.2529975919
169	0.252821395
170	0.2526754202
171	0.2524842904
172	0.2522710454
173	0.2520805244
174	0.2519125444
175	0.2517434264
176	0.2515499698
177	0.2513714869
178	0.2511875307
179	0.2510005054
180	0.250839321
181	0.2506749607
182	0.2505280734
183	0.2503715803
184	0.2502318544
185	0.2500868016
186	0.2499469594
187	0.2498136557
188	0.2496738252
189	0.2495438948
190	0.2494400838
191	0.2493299941
192	0.2491863112
193	0.2490723849
194	0.2489716776
195	0.2488493735
196	0.248742577
197	0.2486127091
198	0.2484852531
199	0.2483838252
200	0.2482502991
201	0.2481436874
202	0.2480275338
203	0.2479259515
204	0.24782314
205	0.2476982218
206	0.2475886385
207	0.2474922997
208	0.2473743424
209	0.2472768898
210	0.2471613
211	0.2470788238
212	0.2469904755
213	0.2469033107
214	0.2468015553
215	0.2467119155
216	0.2466264056
217	0.246544151
218	0.2464650245
219	0.2463889447
220	0.2462992728
221	0.2462212562
222	0.2461495042
223	0.246074232
224	0.2460042782
225	0.2459369401
226	0.2458729026
227	0.2457933283
228	0.2457274447
229	0.2456472732
230	0.2455664021
231	0.2454910861
232	0.2453958713
233	0.2453276127
234	0.2452550546
235	0.2451898582
236	0.2451173341
237	0.2450640307
238	0.2449958729
239	0.244927439
240	0.2448728779
241	0.244823868
242	0.244749023
243	0.244687
244	0.2446245058
245	0.24457166
246	0.2444983203
247	0.244441882
248	0.2444005195
249	0.2443480263
250	0.2442935996
251	0.2442401268
252	0.2441771481
253	0.2441103234
254	0.2440604049
255	0.2440212745
256	0.2439782467
257	0.2439145083
258	0.243866633
259	0.2438070058
260	0.2437548335
261	0.2437143919
262	0.2436596425
263	0.2436087185
264	0.2435519393
265	0.2435054972
266	0.2434603804
267	0.2434111732
268	0.2433669429
269	0.2433275735
270	0.2432875152
271	0.243248467
272	0.243210155
273	0.2431661003
274	0.2431181796
275	0.2430776086
276	0.2430402827
277	0.2429905058
278	0.2429541007
279	0.2429184068
280	0.2428736111
281	0.2428416697
282	0.2427989577
283	0.2427617178
284	0.2427308274
285	0.2426860658
286	0.2426340967
287	0.2425973899
288	0.2425683186
289	0.2425341254
290	0.2425009167
291	0.2424693361
292	0.2424336853
293	0.2424014793
294	0.2423717989
295	0.2423329597
296	0.2422984205
297	0.242271124
298	0.2422451017
299	0.2422192302
300	0.242191481
301	0.2421632143
302	0.2421365182
303	0.2421087509
304	0.242082259
305	0.2420567443
306	0.2420294886
307	0.2420041286
308	0.2419746152
309	0.2419326775
310	0.2418942312
311	0.2418688245
312	0.2418456731
313	0.2418193655
314	0.2417898118
315	0.2417684337
316	0.2417443226
317	0.2417206722
318	0.2416995987
319	0.2416780892
320	0.2416438815
321	0.2416199743
322	0.2415979285
323	0.2415781194
324	0.2415577333
325	0.241537234
326	0.2415120063
327	0.2414888953
328	0.2414677219
329	0.2414461163
330	0.2414153529
331	0.2413913526
332	0.24136943
333	0.2413354318
334	0.2413152496
335	0.2412946549
336	0.2412739393
337	0.2412521437
338	0.2412284395
339	0.2412002591
340	0.2411833677
341	0.2411519673
342	0.2411367013
343	0.2411190168
344	0.2411016946
345	0.2410807581
346	0.241062845
347	0.2410368602
348	0.2410189481
349	0.2410042621
350	0.2409865126
351	0.2409718529
352	0.2409533513
353	0.2409355379
354	0.2409191419
355	0.2409015865
356	0.2408853342
357	0.2408705078
358	0.2408545258
359	0.2408402004
360	0.2408247531
361	0.2408097962
362	0.2407944073
363	0.240777229
364	0.2407591229
365	0.2407312573
366	0.2407079772
367	0.2406909614
368	0.2406742402
369	0.2406602737
370	0.2406461206
371	0.2406316546
372	0.2406070195
373	0.240584142
374	0.2405713543
375	0.2405555543
376	0.2405425028
377	0.2405265235
378	0.240503608
379	0.2404896063
380	0.240473323
381	0.2404614882
382	0.2404478228
383	0.2404336373
384	0.2404217737
385	0.2404099079
386	0.2403986743
387	0.2403810984
388	0.2403587771
389	0.2403480858
390	0.2403373381
391	0.2403241153
392	0.2403084406
393	0.240293553
394	0.2402724603
395	0.2402582874
396	0.24024623
397	0.240234325
398	0.2402156812
399	0.2402050867
400	0.2401941156
401	0.2401832155
402	0.2401717611
403	0.2401618619
404	0.2401493645
405	0.2401363108
406	0.2401236226
407	0.2401062851
408	0.240088323
409	0.2400788952
410	0.2400685074
411	0.2400601212
412	0.2400503591
413	0.2400390663
414	0.24002823
